--SIRvUHMTc_000000_000010,a group of people are swimming in a body of water.
-0eFCgzIWFk_000001_000011,a man is using a scooter to clean the patio.
-0sNYhpevoU_000000_000010,a man is standing in front of a wood paneled wall.
-12MxdP5uVo_000004_000014,a man is working on a piece of equipment in a factory.
-1ZGHXvwuas_000346_000356,a person is talking to someone on a bed while someone is talking.
-2Et-Qz6M5Q_000011_000021,a person is walking through a cave with a flashlight.
-4aag0fGqeQ_000020_000030,a person is putting toppings on a pizza in a pizza oven.
-4czhey2lwY_000003_000013,a man is jumping on a stage and doing a flip.
-4HEECqpLUQ_000094_000104,a person is showing how to fold a piece of cloth.
-4ql_DsxVhY_000000_000010,a person is using a vacuum to clean the floor.
-50SqYJdxL8_000347_000357,a person is using a tool to cut a shoe.
-586Cj6Npa8_000212_000222,a woman is demonstrating how to make a flower arrangement.
-5FiyJECHNQ_000163_000173,a man and a woman perform a dance routine on stage.
-5pd2DM_YdE_000020_000030,a little girl is playing the drums in a room.
-7lRreYtSVw_000000_000010,a toddler is sitting on a chair and playing the piano.
-7wcCzyMdgo_000004_000014,a group of people are watching an event and one of them is performing.
-7YQTziCEPk_000118_000128,a person is using a scooter to balance on a piece of wood.
-80KtX0mXBU_000053_000063,a man in a red shirt is looking at a trash can.
-8x5mR4Tdio_000000_000010,a young man is dancing to music in a living room.
-8XIMM37xvo_000045_000055,a man wearing a hat is talking about something.
-8xXoWJeF68_000068_000078,a man and a woman are standing in a backyard with an axe.
-91zt98Rumo_000000_000010,a group of people are outside in the snow shoveling snow.
-9vo9Oxjxhk_000004_000014,a little girl in a pink dress is dancing to music.
-ADNC2RU3PQ_000015_000025,a person is riding a bike on a dirt ramp.
-AMj3cjAyrY_000003_000013,a little girl is crying while a man is talking to her.
-asB1gNPw38_000136_000146,a man is riding a bike down the street and talking.
-AvjZ4eRgRM_000049_000059,a young man kicks a soccer ball into a net.
-Bb_zut9Ciw_000021_000031,a man is throwing a frisbee on the beach.
-ca2coODeew_000000_000010,a man is using a hose to clean a truck.
-CDQ-DFjDoA_000006_000016,a group of people are sitting around a table playing a board game.
-coszqJ8J7w_000000_000010,a person is riding a motorboat on a body of water.
-cqADbIiZ1Q_000129_000139,a group of baseball players are playing a game of baseball.
-CYBuvlIw0Q_000054_000064,a man is dancing in a parking lot while music is playing.
-c_4PXY7SMk_000000_000010,a group of people are playing instruments in a mall.
-D5KTtjxubY_000174_000184,a man is sitting on an exercise ball and doing some exercises.
-DP6ekfsGKY_000015_000025,a man is talking to a little girl that is sitting on a chair.
-dq4NxThlyg_000008_000018,a group of children are singing a song in front of a christmas tree.
-dUHgTsZ41k_000031_000041,three young boys are hugging each other and laughing.
-EHqT6ZDcb4_000011_000021,a woman is holding a young girl and she is holding on to a rope.
-EtxOLPc5mw_000063_000073,a little girl is sitting on a red chair playing with her toys.
-EU6ACLjiQY_000048_000058,a woman is demonstrating how to do a sari.
-F4yRGCrKhk_000043_000053,a woman is laying on a bed and reading a book.
-FiJCeN5kQY_000005_000015,a person is playing a saxophone in a room with other people.
-fOzK1enQsU_000000_000010,a hockey game is being played in a video.
-FzO9YuskCY_000000_000010,a young boy is taking a video of himself with his camera.
-g5F8H0zIlI_000008_000018,a man is standing in a kitchen and he is talking to the camera.
-Gm1ZVzSskQ_000075_000085,a woman is sitting in a car and looking at her phone.
-HEqHN3KYuM_000010_000020,a person is opening a box with a plastic bag inside of it.
-HLcRt25GtY_000011_000021,a woman is building a snowman in the snow.
-HMG9z5871I_000053_000063,two people are laying in the snow and one of them falls down.
-HT5GP6F0js_000146_000156,a shirtless man in black shorts is playing a musical instrument.
-HXAOzp4Qjs_000027_000037,a woman is lifting a heavy barbell in a gym.
-HYfm8teSyQ_000000_000010,a man and a woman are singing into a microphone.
-iCilId_vAs_000273_000283,a person is using a spray paint roller to spray paint on a car.
-iO-x3L5y_U_000000_000010,a logo for a football team.
-iruowAZ8Fw_000580_000590,a woman is laying down on a table while a man is laying down.
-izA38SZ7QY_000000_000010,a man runs down a sand hill and jumps off a cliff.
-J-2FfMVre8_000000_000010,a man is walking on a tightrope and then jumps over a bar.
-j1vjISEjps_000000_000010,a man hits a golf ball on a golf course.
-j2OdkemS6E_000031_000041,a man is talking to another man on a golf course.
-j6uWktx8Gg_000138_000148,a person is decorating a christmas tree in a room.
-J9-jl65FVU_000012_000022,a person is standing up
-kMghS981X4_000060_000070,a man is demonstrating how to tie a knot with a string.
-kW-oTaMdoc_000038_000048,a man runs and jumps over a rope in a park.
-leKrFFfyzU_000008_000018,a person is writing on a piece of paper on a table.
-LUaKBvpWGQ_000000_000010,a group of girls are playing a game of softball.
-LVOf40Dbqg_000103_000113,a person wearing a hoodie
-MbgmB0jOpY_000004_000014,a person is skiing down a snowy hill.
-MgXP03ijj8_000004_000014,a person is snowboarding down a snowy hill at night.
-MjF5pbaHOE_000007_000017,a group of people are walking down a path in the woods.
-mlH-fXU_lQ_000027_000037,a girl is showing how to brush a toothpaste.
-Mm1tQp0EWg_000050_000060,a toddler is walking in the dirt with a hat on.
-my-KpScCJ4_000275_000285,a dog sled is being pulled by a group of dogs.
-N-rhA_khaY_000077_000087,a man is using a shovel to dig a hole in the ground.
-n98kJywiho_000042_000052,a woman rides a mechanical bull in a bar.
-NgXQZMUbfc_000000_000010,a woman is making a snowman in the snow.
-nmf0FWsLYg_000077_000087,a boy is juggling three oranges in front of a window.
-NXK2qW2Rkk_000148_000158,a man is sitting on a chair and he is sitting on a chair.
-o4jmHdRa80_000039_000049,a group of girls are performing a ballet routine on a stage.
-Or2ffyBX_E_000034_000044,a team of sled dogs race across a frozen lake.
-ORYjC-0F8I_000000_000010,a group of people are playing badminton in a gym.
-phATQNPzbw_000133_000143,a person is petting a black and white cat.
-PIDdASWlas_000000_000010,a baby is sitting on a bed and is laughing.
-pIng6wMeWU_000016_000026,a little boy is doing a handstand on the floor.
-Q2SDb3Vpq8_000017_000027,a young man runs and throws a ball at a high speed.
-Q8eF2vIooQ_000002_000012,a man is riding a horse in a fenced in area.
-QEGWdqHq9s_000119_000129,a group of people are sitting in a room and singing.
-qELlCDoieM_000024_000034,a group of people wearing masks are dancing to music.
-QOiBLyrsTY_000015_000025,a group of kids are ice skating on an ice rink.
-Qw4kMRwH8s_000129_000139,a group of women are dancing in a dance studio.
-qWJhSDY2Tc_000001_000011,a little girl is dancing to music in a kitchen.
-R8VmNs5u3U_000005_000015,a man is sitting in a car and he is driving.
-rFgI-VJ98A_000009_000019,a snake is moving its tail around on a table.
-S7s8fqYspc_000017_000027,a group of girls are dancing to music in a room.
-SfEKqENoBk_000002_000012,a group of people watch as a man runs down a track.
-sy1k5p1Jfg_000051_000061,a group of people are in a line dancing to music.
-TAr0OegNok_000000_000010,a man is doing a handstand in the middle of the street.
-TEOy1zxMtc_000141_000151,a group of young boys are wrestling in a hockey game.
-TgTYo9Ck68_000449_000459,a woman is demonstrating how to use a pencil sharpener.
-UWMGA5Fh70_000020_000030,a man and a woman are preparing food at a buffet table.
-vbd2W3yD4I_000136_000146,a man with an earring in his ear is shown.
-vOIoARsw-U_000007_000017,a person is climbing up a rock climbing wall.
-vqmmwFWK4I_000000_000010,a person is showing how to do an exercise with their leg.
-w1Yf1qFQfY_000004_000014,a little girl is using a water hose to water a plant.
-wrnx4pGDIs_000042_000052,a group of girls are playing basketball in a gym.
-XT6Blbeowg_000014_000024,a little boy is sitting at a table and then he falls down.
-XwIMwh9ZDY_000023_000033,a person is standing in a kitchen and talking to the camera.
-Y42AZudrLk_000010_000020,a boy and a girl are playing with a toy train.
-ZE0N1jgBcQ_000000_000010,a group of vegetables are shown on a table and are shown.
-zuaFzRzl7Y_000147_000157,a woman is standing in front of a christmas tree and talking about it.
-ZxB7cFx7eo_000038_000048,a woman is using a knife to cut a piece of fruit.
-_9XcrEHT5s_000144_000154,a person is using a machine and then turns it into a machine.
0-PWujlTs9k_000084_000094,a group of people are gathered around a sand castle.
0-ZTHLSo_iI_000065_000075,a little girl is jumping on a trampoline in a mall.
00pmPtsonQ4_000027_000037,a group of people in life vests are being pulled by a boat.
01_lHke5f90_000000_000010,a group of young children are in a wheelchair and they are holding papers.
02HAfW8otDE_000000_000010,a girl runs down a track and then runs down a track.
048c_XTk0vk_000000_000010,a man in a red shirt is running on the beach.
058y9xGmmTQ_000206_000216,a man in a grey hoodie is eating something out of his mouth.
05ljTAaWnVc_000003_000013,a man is juggling three balls in the middle of the street.
05V5KJGGzlE_000000_000010,a group of young men are dancing in a backyard.
05ZSAMVA7g4_000004_000014,a group of people are competing in a track and field competition.
06ydvG0KMdc_000002_000012,a woman is doing push ups in a gym.
07D5RpqO46A_000000_000010,a screen showing a musical instrument that is being played.
07xU5ig8CBg_000002_000012,a man is running down a dirt path and then jumps off a ramp.
095RptPiW8I_000000_000010,a man is jumping on a rope in a gym.
09dQut5GJ68_000049_000059,a person is riding a sled down a snowy hill.
09i1LBQ9cbg_000080_000090,a man is dribbling two basketballs in a gym.
09p4H7xYA4Q_000005_000015,a group of people are working together in a workshop.
09TihuYjO_s_000012_000022,a group of people are playing a game of badminton.
0A6fEUxdDMk_000877_000887,a group of people are dancing in a dance studio.
0AczVdcPqho_000000_000010,a group of people are sitting on the ground and playing guitar.
0AjZCHKtJG8_000025_000035,a man in a white hat is dancing on a stage.
0aSmZ91nawo_000060_000070,a woman is sitting on a ball and another woman is sitting on it.
0a_9NKbShe8_000017_000027,a chef is demonstrating how to cook a salad with a knife.
0bbSopvgYAI_000000_000010,a group of men and women are dancing in a bar with neon lights.
0bbub2tFSow_000026_000036,a small dog is walking on a tile floor while a person talks to him.
0BprhLMjzXA_000062_000072,a man wearing a blue hat
0c8VvSaw-b4_000013_000023,a man is showing how to tie a pair of shoes.
0CIgVD-v_ls_000251_000261,a woman is putting food in the oven and putting them in the oven.
0cMiLMVVSgM_000007_000017,a woman in a santa hat is wearing a santa hat and talking.
0C_TGr-V2Bw_000000_000010,a large group of people are watching the game.
0DUtghm2U34_000106_000116,a man in a red t - shirt is eating a sandwich.
0EojNazUJ9U_000062_000072,a man in a blue hat is doing a dance routine.
0eU_Xo-u_9A_000000_000010,a young man is sitting at a table and shaking the hand of another man.
0eymUbb5D_8_000057_000067,a shirtless man is walking on a rope in a park.
0FDVa0TOc3A_000000_000010,a woman is doing a back flip on a bar while music is playing in the background.
0FhPVyStI9M_000000_000010,a young man is standing in a garage and juggling an apple.
0FU-F6iylZs_000000_000010,a baby is laying on a bed and looking at the camera.
0fwkAvo6wGI_000007_000017,a man is sitting on a yoga mat in a gym.
0fZrbXGkLBU_000076_000086,a group of people are working on a construction site.
0G1oPLygrEg_000017_000027,a man and two children are playing a game of badminton.
0gtSAyvqcI8_000109_000119,a man and a little girl are dancing around a christmas tree.
0H0AdWJ-UJY_000022_000032,a man is talking to the camera and talking about something.
0HbWLqOSgYQ_000005_000015,a woman is sitting in a chair and talking about the news.
0HEi6q3bGaw_000011_000021,a person is riding a snowmobile in the snow.
0hfsmjiMVRw_000196_000206,a group of people are in a gym playing badminton.
0hfXA5T_OKg_000043_000053,a man is holding a pair of shoes and talking to someone.
0HsyjDf6pQ0_000097_000107,a woman is using a curling iron to blow dry her hair.
0hWgePf9Vfw_000199_000209,a person is demonstrating how to make a paper airplane.
0HWIs6sE2WY_000075_000085,a person is wrapping a piece of leather around a piece of luggage.
0iftqj09EuU_000000_000010,a pink plastic bottle on a table with a pink lid.
0ilAElaRdjc_000001_000011,a group of kids are playing in a bouncy house.
0iRLt5ZFkb0_000000_000010,a man is sitting in a folding chair and playing a guitar.
0j3p_5Dye-Y_000031_000041,a man is sitting at a table with a little boy on his lap.
0jbpGIvCQPM_000000_000010,a young girl is hitting a ball with a bat.
